"","School.District","DBN","Support_Env","Teach_Eff","Exp_Teach","Coll_Rate","SAT_Math","SAT_Read","Teach_Eff_Num","Borough","PERCENT.RECEIVES.PUBLIC.ASSISTANCE"
"1",1,"01M509",0.63,"Developing",0.385,0.525,467.3,472,1,"Manhattan",0
"2",1,"01M539",0.71,"Proficient",0.738,0.921,679.4,646.2,2,"Manhattan",0
"3",1,"01M450",0.84,"Proficient",0.811,0.815,525.2,527,2,"Manhattan",0
"4",1,"01M292",0.76,"Proficient",0.75,0.724,448.4,438,2,"Manhattan",0
"5",1,"01M448",0.83,"Proficient",0.6,0.761,510.5,502.6,2,"Manhattan",0
"6",1,"01M696",0.81,"Well Developed",0.868,0.978,669.1,669.8,3,"Manhattan",0
"7",2,"02M303",0.72,"Proficient",0.7,0.551,420,433,2,"Manhattan",0.31
"8",2,"02M047",0.68,"Proficient",0.364,0.743,473.2,485.3,2,"Manhattan",0.31
"9",2,"02M135",0.67,"Proficient",0.708,0.635,471.3,467.7,2,"Manhattan",0.31
"10",2,"02M139",0.65,"Proficient",0.659,0.549,439.2,446.2,2,"Manhattan",0.31
"11",2,"02M260",0.71,"Well Developed",0.735,NA,581.5,607.9,3,"Manhattan",0.31
"12",2,"02M280",0.74,"Proficient",0.714,0.845,486.8,496,2,"Manhattan",0.31
"13",2,"02M282",0.76,"Developing",0.586,0.787,495.1,501.3,1,"Manhattan",0.31
"14",2,"02M288",0.58,"Proficient",0.793,0.738,422.9,441.2,2,"Manhattan",0.31
"15",2,"02M294",0.81,"Proficient",0.926,0.779,438.2,461.2,2,"Manhattan",0.31
"16",2,"02M296",0.68,"Developing",0.786,0.634,434,441.4,1,"Manhattan",0.31
"17",2,"02M298",0.71,"Proficient",0.795,0.545,483.6,502,2,"Manhattan",0.31
"18",2,"02M300",0.72,"Developing",0.609,0.621,466.9,447.2,1,"Manhattan",0.31
"19",2,"02M439",0.78,"Well Developed",0.724,0.92,565.3,553.3,3,"Manhattan",0.31
"20",2,"02M449",0.79,"Proficient",0.829,0.675,453.2,468.8,2,"Manhattan",0.31
"21",2,"02M459",0.83,"Well Developed",0.727,0.554,446.8,441.5,3,"Manhattan",0.31
"22",2,"02M475",0.84,"Proficient",0.907,0.972,775.9,724.8,2,"Manhattan",0.31
"23",2,"02M489",0.73,"Proficient",0.705,0.812,513.9,503.3,2,"Manhattan",0.31
"24",2,"02M500",0.93,"Proficient",0.333,0.582,418.2,441.8,2,"Manhattan",0.31
