"","School.District","DBN","PERCENT.RECEIVES.PUBLIC.ASSISTANCE"
"1","CSD 1","84M330",0
"2","CSD 1","84M202",0
"3","CSD 1","84M080",0
"4","CSD 1","84M320",0
"5","CSD 10","84X616",0.35
"6","CSD 10","84X460",0.35
"7","CSD 10","84X628",0.35
"8","CSD 10","84X398",0.35
"9","CSD 10","84X592",0.35
"10","CSD 10","84X429",0.35
"11","CSD 10","84X553",0.35
"12","CSD 10","84X539",0.35
"13","CSD 10","84X598",0.35
"14","CSD 10","84X347",0.35
"15","CSD 10","84X599",0.35
"16","CSD 10","84X619",0.35
"17","CSD 10","84X620",0.35
"18","CSD 10","84X617",0.35
"19","CSD 10","84X629",0.35
"20","CSD 11","84X579",0.35
"21","CSD 11","84X488",0.35
"22","CSD 11","84X538",0.35
"23","CSD 11","84X496",0.35
"24","CSD 11","84X718",0.35
"25","CSD 11","84X484",0.35
"26","CSD 11","84X255",0.35
"27","CSD 11","84X608",0.35
"28","CSD 11","84X378",0.35
"29","CSD 11","84X422",0.35
"30","CSD 11","84X627",0.35
"31","CSD 11","84X589",0.35
"32","CSD 12","84X482",0.46
"33","CSD 12","84X200",0.46
"34","CSD 12","84X185",0.46
"35","CSD 12","84X613",0.46
"36","CSD 12","84X612",0.46
"37","CSD 12","84X597",0.46
"38","CSD 12","84X124",0.46
"39","CSD 12","84X610",0.46
"40","CSD 12","84X587",0.46
"41","CSD 12","84X346",0.46
"42","CSD 13","84K879",0.5
"43","CSD 13","84K517",0.5
"44","CSD 13","84K780",0.5
"45","CSD 13","84K911",0.5
"46","CSD 13","84K803",0.5
"47","CSD 13","84K508",0.5
"48","CSD 13","84K757",0.5
"49","CSD 13","84K789",0.5
"50","CSD 13","84K752",0.5
"51","CSD 13","84K702",0.5
"52","CSD 13","84K536",0.5
"53","CSD 13","84K766",0.5
"54","CSD 14","84K693",0.66
"55","CSD 14","84K037",0.66
"56","CSD 14","84K125",0.66
"57","CSD 14","84K473",0.66
"58","CSD 14","84K355",0.66
"59","CSD 14","84K182",0.66
"60","CSD 14","84K701",0.66
"61","CSD 14","84K367",0.66
"62","CSD 15","84K930",0.37
"63","CSD 15","84K651",0.37
"64","CSD 15","84K928",0.37
"65","CSD 15","84K937",0.37
"66","CSD 15","84K362",0.37
"67","CSD 15","84K758",0.37
"68","CSD 15","84K730",0.37
"69","CSD 15","84K129",0.37
"70","CSD 15","84K486",0.37
"71","CSD 16","84K883",0
"72","CSD 16","84K360",0
"73","CSD 16","84K892",0
"74","CSD 16","84K593",0
"75","CSD 16","84K782",0
"76","CSD 16","84K731",0
"77","CSD 16","84K406",0
"78","CSD 16","84K649",0
"79","CSD 16","84Q416",0
"80","CSD 16","84K712",0
"81","CSD 16","84K648",0
"82","CSD 17","84K933",0.36
"83","CSD 17","84K741",0.36
"84","CSD 17","84K357",0.36
"85","CSD 17","84K704",0.36
"86","CSD 17","84K356",0.36
"87","CSD 17","84K756",0.36
"88","CSD 17","84K934",0.36
"89","CSD 17","84K886",0.36
"90","CSD 17","84K742",0.36
"91","CSD 17","84K876",0.36
"92","CSD 17","84K395",0.36
"93","CSD 17","84K333",0.36
"94","CSD 18","84K736",0.05
"95","CSD 18","84K792",0.05
"96","CSD 18","84K759",0.05
"97","CSD 18","84K608",0.05
"98","CSD 18","84K724",0.05
"99","CSD 18","84K379",0.05
"100","CSD 18","84K652",0.05
"101","CSD 18","84K956",0.05
"102","CSD 19","84K910",0
"103","CSD 19","84K785",0
"104","CSD 19","84K769",0
"105","CSD 19","84K358",0
"106","CSD 19","84K774",0
"107","CSD 19","84K740",0
"108","CSD 19","84K788",0
"109","CSD 19","84K680",0
"110","CSD 19","84K929",0
"111","CSD 19","84K807",0
"112","CSD 2","84M358",0.31
"113","CSD 2","84M707",0.31
"114","CSD 2","84M174",0.31
"115","CSD 2","84M522",0.31
"116","CSD 2","84M263",0.31
"117","CSD 2","84M170",0.31
"118","CSD 21","84K895",0.21
"119","CSD 21","84K772",0.21
"120","CSD 21","84K744",0.21
"121","CSD 22","84K738",0.13
"122","CSD 22","84K781",0.13
"123","CSD 22","84K417",0.13
"124","CSD 22","84K739",0.13
"125","CSD 22","84K791",0.13
"126","CSD 22","84K746",0.13
"127","CSD 23","84K711",0
"128","CSD 23","84K912",0
"129","CSD 23","84K790",0
"130","CSD 23","84K927",0
"131","CSD 23","84K777",0
"132","CSD 23","84K775",0
"133","CSD 23","84K737",0
"134","CSD 23","84K626",0
"135","CSD 23","84K710",0
"136","CSD 24","84Q380",0
"137","CSD 24","84Q298",0
"138","CSD 24","84Q414",0
"139","CSD 24","84Q387",0
"140","CSD 24","84Q385",0
"141","CSD 24","84Q083",0
"142","CSD 27","84Q375",0.13
"143","CSD 27","84Q374",0.13
"144","CSD 27","84Q340",0.13
"145","CSD 27","84Q373",0.13
"146","CSD 27","84Q388",0.13
"147","CSD 27","84Q320",0.13
"148","CSD 27","84Q170",0.13
"149","CSD 27","84Q386",0.13
"150","CSD 28","84Q342",0.27
"151","CSD 28","84Q372",0.27
"152","CSD 29","84Q337",0
"153","CSD 29","84Q341",0
"154","CSD 29","84Q339",0
"155","CSD 29","84Q704",0
"156","CSD 3","84M329",0.37
"157","CSD 3","84M861",0.37
"158","CSD 3","84M351",0.37
"159","CSD 3","84M483",0.37
"160","CSD 3","84M702",0.37
"161","CSD 3","84M186",0.37
"162","CSD 3","84M523",0.37
"163","CSD 3","84M389",0.37
"164","CSD 3","84M279",0.37
"165","CSD 3","84M386",0.37
"166","CSD 30","84Q706",0.17
"167","CSD 30","84Q359",0.17
"168","CSD 30","84Q321",0.17
"169","CSD 30","84Q304",0.17
"170","CSD 30","84Q705",0.17
"171","CSD 31","84R073",0
"172","CSD 31","84R076",0
"173","CSD 31","84R012",0
"174","CSD 31","84R083",0
"175","CSD 31","84R067",0
"176","CSD 31","84R070",0
"177","CSD 31","84R077",0
"178","CSD 32","84K793",0
"179","CSD 32","84K784",0
"180","CSD 32","84K538",0
"181","CSD 32","84K733",0
"182","CSD 32","84K882",0
"183","CSD 4","84M382",0.4
"184","CSD 4","84M204",0.4
"185","CSD 4","84M168",0.4
"186","CSD 4","84M337",0.4
"187","CSD 4","84M335",0.4
"188","CSD 4","84M518",0.4
"189","CSD 4","84M433",0.4
"190","CSD 4","84M708",0.4
"191","CSD 4","84M385",0.4
"192","CSD 4","84M705",0.4
"193","CSD 4","84M704",0.4
"194","CSD 5","84M383",0.14
"195","CSD 5","84M380",0.14
"196","CSD 5","84M481",0.14
"197","CSD 5","84M388",0.14
"198","CSD 5","84M085",0.14
"199","CSD 5","84M709",0.14
"200","CSD 5","84M357",0.14
"201","CSD 5","84M482",0.14
"202","CSD 5","84M350",0.14
"203","CSD 5","84M341",0.14
"204","CSD 5","84M100",0.14
"205","CSD 5","84M726",0.14
"206","CSD 5","84M384",0.14
"207","CSD 5","84M065",0.14
"208","CSD 5","84M284",0.14
"209","CSD 5","84M336",0.14
"210","CSD 6","84M338",0.39
"211","CSD 6","84M478",0.39
"212","CSD 6","84M265",0.39
"213","CSD 6","84M373",0.39
"214","CSD 6","84M390",0.39
"215","CSD 6","84M295",0.39
"216","CSD 6","84M353",0.39
"217","CSD 6","84M068",0.39
"218","CSD 6","84M430",0.39
"219","CSD 7","84X491",0.3
"220","CSD 7","84X635",0.3
"221","CSD 7","84X632",0.3
"222","CSD 7","84X471",0.3
"223","CSD 7","84X581",0.3
"224","CSD 7","84X233",0.3
"225","CSD 7","84X472",0.3
"226","CSD 7","84X497",0.3
"227","CSD 7","84X394",0.3
"228","CSD 7","84X465",0.3
"229","CSD 7","84X623",0.3
"230","CSD 7","84X630",0.3
"231","CSD 7","84X309",0.3
"232","CSD 7","84X586",0.3
"233","CSD 7","84X364",0.3
"234","CSD 7","84X609",0.3
"235","CSD 7","84X395",0.3
"236","CSD 7","84X611",0.3
"237","CSD 7","84X615",0.3
"238","CSD 7","84X407",0.3
"239","CSD 7","84X554",0.3
"240","CSD 7","84X387",0.3
"241","CSD 7","84X393",0.3
"242","CSD 7","84X208",0.3
"243","CSD 7","84X614",0.3
"244","CSD 7","84X585",0.3
"245","CSD 7","84X493",0.3
"246","CSD 7","84X704",0.3
"247","CSD 7","84X631",0.3
"248","CSD 7","84X389",0.3
"249","CSD 8","84X487",0.24
"250","CSD 8","84X730",0.24
"251","CSD 8","84X202",0.24
"252","CSD 8","84X464",0.24
"253","CSD 8","84X165",0.24
"254","CSD 8","84X345",0.24
"255","CSD 8","84X380",0.24
"256","CSD 8","84X492",0.24
"257","CSD 8","84X606",0.24
"258","CSD 8","84X362",0.24
"259","CSD 9","84X486",0.35
"260","CSD 9","84X461",0.35
"261","CSD 9","84X717",0.35
"262","CSD 9","84X633",0.35
"263","CSD 9","84X494",0.35
"264","CSD 9","84X177",0.35
"265","CSD 9","84X705",0.35
"266","CSD 9","84X133",0.35
"267","CSD 9","84X703",0.35
"268","CSD 9","84X706",0.35
"269","CSD 9","84X588",0.35
"270","CSD 9","84X489",0.35
"271","CSD 9","84X419",0.35
